profile_id,condition,gender,age_band,race,education,income,party
synthetic_1,Former skeptics,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Other
synthetic_2,High public trust,Female,18-29,Other,Bachelor's degree,"$168,000 or more",Democrat
synthetic_3,Former skeptics,Female,18-29,Black / African American,Some college or Associate's degree,"$168,000 or more",Other
synthetic_4,Peer-review,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_5,Funding,Male,30-44,Other,High school diploma / GED,"Less than $30,000",Independent
synthetic_6,Oil industry misinformation,Female,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_7,Measurement & modeling (2),Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_8,Interview Prof. Maraun,Male,30-44,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_9,Extreme weather predictions,Male,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_10,Portrait Prof. Cherry,Female,18-29,Black / African American,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_11,Measurement & modeling (1),Male,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent
synthetic_12,Consensus,Male,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Democrat
synthetic_13,Measurement & modeling (2),Male,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent
synthetic_14,Portrait Prof. Cherry,Male,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent
synthetic_15,Measurement & modeling (1),Female,18-29,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_16,Corporate reliance,Male,45-59,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Other
synthetic_17,Model accuracy,Female,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Other
synthetic_18,Former skeptics,Female,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_19,Corporate reliance,Female,60+,Other,Bachelor's degree,"Less than $30,000",Republican
synthetic_20,Former skeptics,Female,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_21,Portrait Prof. Cherry,Female,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_22,control,Male,30-44,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_23,Model accuracy,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_24,control,Male,45-59,Asian / Asian American,Bachelor's degree,"$168,000 or more",Republican
synthetic_25,Extreme weather predictions,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_26,Measurement & modeling (2),Female,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat
synthetic_27,Funding,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Other
synthetic_28,Former skeptics,Female,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Other
synthetic_29,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_30,Portrait Prof. Cherry,Other,45-59,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Independent
synthetic_31,Funding,Male,60+,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Democrat
synthetic_32,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican
synthetic_33,Scientist community helpers,Female,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_34,Consensus,Male,60+,Hispanic / Latino,Master's degree / Professional degree,"$100,000 to $167,999",Democrat
synthetic_35,Measurement & modeling (1),Male,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_36,High public trust,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_37,Extreme weather predictions,Male,30-44,Asian / Asian American,Less than high school,"$56,000 to $99,999",Other
synthetic_38,Corporate reliance,Female,30-44,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Independent
synthetic_39,Interview Prof. Maraun,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent
synthetic_40,Social justice,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_41,Scientist community helpers,Female,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_42,Social justice,Female,30-44,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Democrat
synthetic_43,Scientist community helpers,Female,30-44,Black / African American,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_44,High public trust,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_45,Social justice,Male,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Republican
synthetic_46,High public trust,Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_47,Measurement & modeling (1),Female,30-44,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Other
synthetic_48,Corporate reliance,Male,18-29,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Independent
synthetic_49,Measurement & modeling (2),Female,45-59,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Other
synthetic_50,Corporate reliance,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_51,Corporate reliance,Male,60+,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_52,Scientist community helpers,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_53,control,Female,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_54,Oil industry misinformation,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other
synthetic_55,Consensus,Male,30-44,Hispanic / Latino,Master's degree / Professional degree,"$56,000 to $99,999",Independent
synthetic_56,Interview Prof. Maraun,Male,60+,Other,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_57,Measurement & modeling (1),Male,60+,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_58,Funding,Female,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_59,Model accuracy,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat
synthetic_60,Interview Prof. Sebille,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican
synthetic_61,Corporate reliance,Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Other
synthetic_62,Former skeptics,Male,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent
synthetic_63,Peer-review,Female,60+,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_64,control,Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_65,control,Male,18-29,Hispanic / Latino,Bachelor's degree,"$168,000 or more",Democrat
synthetic_66,Interview Prof. Sebille,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_67,Interview Prof. Maraun,Female,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_68,Portrait Prof. Cherry,Female,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Democrat
