questionnaire_item_id,question_content,answer_codes,answer_texts,likert_only_from_to_scale,likert_n,likert_start_idx,scale_prompt_template
trust_competence_1,How incompetent or competent are most climate scientists?,"[0,100]","['Very incompetent', 'very competent']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_competence_2,How unintelligent or intelligent are most climate scientists?,"[0,100]","['Very unintelligent', 'very intelligent']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_competence_3,How unqualified or qualified are most climate scientists?,"[0,100]","['Very unqualified', 'very qualified']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_integrity_1,How dishonest or honest are most climate scientists?,"[0,100]","['Very dishonest', 'very honest']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_integrity_2,How unethical or ethical are most climate scientists?,"[0,100]","['Very unethical', 'very ethical']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_integrity_3,How insincere or sincere are most climate scientists?,"[0,100]","['Very insincere', 'very sincere']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_benevolence_1,How unconcerned or concerned are most climate scientists about people’s wellbeing?,"[0,100]","['Very unconcerned', 'very concerned']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_benevolence_2,How uneager or eager are most climate scientists to improve others’ lives?,"[0,100]","['Very uneager', 'very eager']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_benevolence_3,How inconsiderate or considerate are most climate scientists of others’ interests?,"[0,100]","['Very inconsiderate', 'very considerate']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_openness_1,"How open, if at all, are most climate scientists to feedback?","[0,100]","['Not open at all', 'Very open']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_openness_2,How unwilling or willing are most climate scientists to be transparent?,"[0,100]","['Very unwilling', 'Very willing']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_openness_3,How much or how little attention do climate scientists pay to other people's views?,"[0,100]","['Very little attention', 'A great deal of attention']",True,101,0,"The person answers on a slider from {start} to {end}"
trust_post,How much do you trust climate scientists?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
distrust_post,How much do you distrust climate scientists?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
funding_perceptions,"Do you think the federal government is spending too much, too little or about the right amount of money on climate change research?","[0,100]","['Far too little', 'Far too much']",True,101,0,"The person answers on a slider from {start} to {end}"
belief_post,How accurate do you think this statement is? Human activities are causing climate change.,"[0,100]","['Not at all accurate', 'Extremely accurate']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_general,Should the U.S. government do more to reduce global warming?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
donation_ams,"Of the $10 bonus, how much would you like to donate to the American Meteorological Society (AMS)?","[0,10]","['0$','10$']",True,11,0,"The person answers on a slider from {start} to {end}"
newsletter_signup,Did you subscribe to the Talking Climate newsletter on the previous page?,"[1,2]","['Yes', 'No']",False,2,,"The person answers on a slider from {start} to {end}"
inst_trust_epa,How much do you trust the Environmental Protection Agency (EPA)?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
inst_trust_nasa,How much do you trust the National Aeronautics and Space Administration (NASA)?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
inst_trust_noaa,How much do you trust the National Oceanic and Atmospheric Administration (NOAA)?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
inst_trust_universities,How much do you trust universities and colleges?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
inst_trust_federal_gov,How much do you trust the federal government?,"[0,100]","['Not at all', 'Very strongly']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_role_1,Climate scientists should work closely with policy makers to integrate scientific results into policy-making.,"[0,100]","['Strongly disagree', 'Strongly agree']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_role_2,Climate scientists should actively advocate for specific policies.,"[0,100]","['Strongly disagree', 'Strongly agree']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_role_3,Climate scientists should communicate their findings to policy makers.,"[0,100]","['Strongly disagree', 'Strongly agree']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_role_4,Climate scientists should be more involved in the policy-making process.,"[0,100]","['Strongly disagree', 'Strongly agree']",True,101,0,"The person answers on a slider from {start} to {end}"
concern_1,How concerned are you about climate change?,"[0,100]","['Not at all', 'Extremely']",True,101,0,"The person answers on a slider from {start} to {end}"
concern_2,How serious a problem is climate change?,"[0,100]","['Not at all', 'Extremely']",True,101,0,"The person answers on a slider from {start} to {end}"
concern_3,"Relative to other issues facing the U.S., how important is climate change?","[0,100]","['The least important issue', 'The most important issue']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_1,"How much do you support or oppose raising taxes on fossil fuels (e.g., gas, oil, coal)?","[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_2,How much do you support or oppose expanding infrastructure for public transportation?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_3,How much do you support or oppose increasing the use of sustainable energy such as wind and solar energy?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_4,How much do you support or oppose protecting forested and land areas?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_5,How much do you support or oppose increasing taxes on carbon-intensive foods (e.g. beef and dairy products)?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_6,How much do you support or oppose investing more in green jobs and businesses?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
policy_specific_7,How much do you support or oppose introducing laws to keep waterways and oceans clean?,"[0,100]","['Strongly oppose', 'Strongly support']",True,101,0,"The person answers on a slider from {start} to {end}"
behavior_meat,How likely are you to eat less meat in the next twelve months?,"[0,100]","['Not likely at all', 'Extremely likely']",True,101,0,"The person answers on a slider from {start} to {end}"
behavior_transport,How likely are you to walk bicycle carpool or take public transportation more often instead of driving by yourself in the next twelve months?,"[0,100]","['Not likely at all', 'Extremely likely']",True,101,0,"The person answers on a slider from {start} to {end}"
behavior_solar,How likely are you to install a solar panel in the next twelve months?,"[0,100]","['Not likely at all', 'Extremely likely']",True,101,0,"The person answers on a slider from {start} to {end}"
behavior_fly,How likely are you to go on less personal (non-business) air travel in the next twelve months?,"[0,100]","['Not likely at all', 'Extremely likely']",True,101,0,"The person answers on a slider from {start} to {end}"
behavior_talk,How likely are you to talk to friends and family about the importance of climate change in the next twelve months?,"[0,100]","['Not likely at all', 'Extremely likely']",True,101,0,"The person answers on a slider from {start} to {end}"
behavior_donate,How likely are you to donate to an environmental NGO in the next twelve months?,"[0,100]","['Not likely at all', 'Extremely likely']",True,101,0,"The person answers on a slider from {start} to {end}"
