questionnaire_item_id,question_content,answer_codes,answer_texts,likert_only_from_to_scale,likert_n,likert_start_idx,scale_prompt_template
happening,"Recently, you may have noticed that global warming has been getting some attention in the news. Global warming refers to the idea that the world's average temperature has been increasing over the past 150 years, may be increasing more in the future, and that the world's climate may change as a result. What do you think: Do you think that global warming is happening?","[1,2,3]","[""No"", ""Don't know"", ""Yes""]",,,,
cause_recoded,"Assuming global warming is happening, do you think it is...","[1,2,3,4,5,6]","[""Don't know"", ""Other"", ""Neither because global warming isn't happening"", ""Caused mostly by natural changes in the environment"", ""Caused by human activities and natural changes"", ""Caused mostly by human activities""]",,,,
sci_consensus,Which comes closest to your own view?,"[1,2,3,4]","[""Don't know enough to say"", ""There is a lot of disagreement among scientists about whether or not global warming is happening"", ""Most scientists think global warming is not happening"", ""Most scientists think global warming is happening""]",,,,
worry,How worried are you about global warming?,"[1,2,3,4]","['Not at all worried','Not very worried','Somewhat worried','Very worried']",,,,
harm_personally,How much do you think global warming will harm you personally?,"[0,1,2,3,4]","[""Don't know"", ""Not at all"", ""Only a little"", ""A moderate amount"", ""A great deal""]",,,,
harm_US,How much do you think global warming will harm people in the United States?,"[0,1,2,3,4]","[""Don't know"", ""Not at all"", ""Only a little"", ""A moderate amount"", ""A great deal""]",,,,
harm_dev_countries,How much do you think global warming will harm people in developing countries?,"[0,1,2,3,4]","[""Don't know"", ""Not at all"", ""Only a little"", ""A moderate amount"", ""A great deal""]",,,,
harm_future_gen,How much do you think global warming will harm future generations of people?,"[0,1,2,3,4]","[""Don't know"", ""Not at all"", ""Only a little"", ""A moderate amount"", ""A great deal""]",,,,
harm_plants_animals,How much do you think global warming will harm plant and animal species?,"[0,1,2,3,4]","[""Don't know"", ""Not at all"", ""Only a little"", ""A moderate amount"", ""A great deal""]",,,,
when_harm_US,When do you think global warming will start to harm people in the United States?,"[1,2,3,4,5,6]","['Never','In 100 years','In 50 years','In 25 years','In 10 years','They are being harmed right now']",,,,
reg_CO2_pollutant,How much do you support or oppose the following policies? Regulate carbon dioxide (the primary greenhouse gas) as a pollutant.,"[1,2,3,4]","['Strongly oppose','Somewhat oppose','Somewhat support','Strongly support']",,,,
fund_research,"How much do you support or oppose the following policies? Fund more research into renewable energy sources, such as solar and wind power.","[1,2,3,4]","['Strongly oppose','Somewhat oppose','Somewhat support','Strongly support']",,,,
reduce_tax,How much do you support or oppose the following policies? Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,"[1,2,3,4]","['Strongly oppose','Somewhat oppose','Somewhat support','Strongly support']",,,,
priority_cleanenergy,"Do you think that developing sources of clean energy should be a low, medium, high, or very high priority for the president and Congress?","[1,2,3,4]","['Low','Medium','High','Very high']",,,,
priority,"Do you think global warming should be a low, medium, high, or very high priority for the president and Congress?","[1,2,3,4]","['Low','Medium','High','Very high']",,,,
generate_renewable,How much do you support or oppose the following policies? Generate renewable energy (solar and wind) on public land in the U.S.,"[1,2,3,4]","['Strongly oppose','Somewhat oppose','Somewhat support','Strongly support']",,,,
teach_gw,"How much do you agree or disagree with the following statements? Schools should teach our children about the causes, consequences, and potential solutions to global warming.","[1,2,3,4]","['Strongly disagree','Somewhat disagree','Somewhat agree','Strongly agree']",,,,
transition_economy,"How much do you support or oppose the following policies? Transition the U.S. economy (including electric utilities, transportation, buildings, and industry) from fossil fuels to 100% clean energy by 2050.","[1,2,3,4]","['Strongly oppose','Somewhat oppose','Somewhat support','Strongly support']",,,,
discuss_GW,How often do you discuss global warming with your family and friends?,"[1,2,3,4]","['Never','Rarely','Occasionally','Often']",,,,
hear_GW_media,"About how often do you hear about global warming in the media (TV, movies, radio, newspapers/news websites, magazines, etc.)?","[0,1,2,3,4,5]","['Not sure','Never','Once a year or less often','Several times a year','At least once a month','At least once a week']",,,,
